network,subset_name,eval_subset,seed,optimizer,layers,accuracy,precision,recall,f1,precision_w,recall_w,f1_w
EfficientNetV2B0,fresh,all,6,AdamW,GlobalMaxPooling2D,0.6127320954907162,0.6110161768056506,0.6100446050477104,0.6100957724130115,0.6118950619858061,0.6127320954907162,0.6118816686914565
EfficientNetV2B0,fresh,microscope,6,AdamW,GlobalMaxPooling2D,0.6518987341772152,0.6539855072463767,0.6499118165784832,0.6487327701200534,0.6536644652357365,0.6518987341772152,0.6495770272019632
EfficientNetV2B0,fresh,phone,6,AdamW,GlobalMaxPooling2D,0.6464646464646465,0.6427696078431373,0.652353966870096,0.6392503904216553,0.673561596355714,0.6464646464646465,0.6521329904984251
EfficientNetV2B0,fresh,fresh,6,AdamW,GlobalMaxPooling2D,0.7023809523809523,0.6950537634408602,0.6991655687307861,0.6961805555555556,0.7072657450076805,0.7023809523809523,0.7039310515873015
EfficientNetV2B0,fresh,dried,6,AdamW,GlobalMaxPooling2D,0.550561797752809,0.5346153846153846,0.5275510204081633,0.5120614035087719,0.5381158167675022,0.550561797752809,0.5259215454366253
EfficientNetV2B0,fresh,comparison,6,AdamW,GlobalMaxPooling2D,0.6498054474708171,0.6547008547008547,0.6544933544689672,0.6498001453488372,0.6591705743456716,0.6498054474708171,0.6496888007872591
EfficientNetV2B0,fresh,all,8,AdamW,GlobalMaxPooling2D,0.623342175066313,0.6236587982832618,0.617130596804246,0.6151512537382102,0.6235840894343189,0.623342175066313,0.6182786964271222
EfficientNetV2B0,fresh,microscope,8,AdamW,GlobalMaxPooling2D,0.6645569620253164,0.6647435897435898,0.6648228314894982,0.6645435244161358,0.6651168451801364,0.6645569620253164,0.6645972748528581
EfficientNetV2B0,fresh,phone,8,AdamW,GlobalMaxPooling2D,0.6767676767676768,0.6708265139116203,0.6819965126416739,0.6691729323308271,0.7005323281919026,0.6767676767676768,0.6818308397255767
EfficientNetV2B0,fresh,fresh,8,AdamW,GlobalMaxPooling2D,0.7380952380952381,0.7294221959509384,0.7272727272727273,0.7282352941176471,0.7370748801959086,0.7380952380952381,0.7374789915966387
EfficientNetV2B0,fresh,dried,8,AdamW,GlobalMaxPooling2D,0.5393258426966292,0.5264182424916575,0.5242346938775511,0.5196788205870738,0.5307207758933147,0.5393258426966292,0.5295023316418515
EfficientNetV2B0,fresh,comparison,8,AdamW,GlobalMaxPooling2D,0.669260700389105,0.6682727272727274,0.6692781368125837,0.6682763123927535,0.6712366466218608,0.669260700389105,0.6697528943872808
EfficientNetV2B0,fresh,all,10,AdamW,GlobalMaxPooling2D,0.610079575596817,0.6086421499292787,0.6084213200835639,0.608492931976009,0.6097601476706973,0.610079575596817,0.609881245144216
EfficientNetV2B0,fresh,microscope,10,AdamW,GlobalMaxPooling2D,0.6772151898734177,0.6813497340425532,0.6749238415905082,0.673434650455927,0.6807984614866684,0.6772151898734177,0.6743241891423954
EfficientNetV2B0,fresh,phone,10,AdamW,GlobalMaxPooling2D,0.5858585858585859,0.5924713584288053,0.5985178727114211,0.5815895268529018,0.6255352212799021,0.5858585858585859,0.592262174367112
EfficientNetV2B0,fresh,fresh,10,AdamW,GlobalMaxPooling2D,0.6726190476190477,0.6670940170940172,0.6717171717171717,0.6674225245653818,0.6809065934065934,0.6726190476190477,0.6748461289277616
EfficientNetV2B0,fresh,dried,10,AdamW,GlobalMaxPooling2D,0.5842696629213483,0.5798319327731092,0.5581632653061225,0.5386016533557517,0.5806817108866018,0.5842696629213483,0.5532806564304077
EfficientNetV2B0,fresh,comparison,10,AdamW,GlobalMaxPooling2D,0.642023346303502,0.6503764038010613,0.6485794415315205,0.6417575757575757,0.6553882382995969,0.642023346303502,0.6409602641197972
EfficientNetV2B0,dried,all,2,AdamW,GlobalMaxPooling2D,0.6127320954907162,0.6168639053254438,0.6159731240472023,0.6125112637981527,0.6190887260056818,0.6127320954907162,0.611995989848838
EfficientNetV2B0,dried,microscope,2,AdamW,GlobalMaxPooling2D,0.6708860759493671,0.6903060289536376,0.6665063331729998,0.6585771276595744,0.6889188894533325,0.6708860759493671,0.6602183207648802
EfficientNetV2B0,dried,phone,2,AdamW,GlobalMaxPooling2D,0.6363636363636364,0.6115954664341761,0.6115954664341761,0.6115954664341761,0.6363636363636364,0.6363636363636364,0.6363636363636364
EfficientNetV2B0,dried,fresh,2,AdamW,GlobalMaxPooling2D,0.6309523809523809,0.6517347386912604,0.6517347386912604,0.6309523809523809,0.6725170964301399,0.6309523809523809,0.6309523809523809
EfficientNetV2B0,dried,dried,2,AdamW,GlobalMaxPooling2D,0.7078651685393258,0.7073232323232324,0.7094387755102041,0.7069402228976698,0.712200658268074,0.7078651685393258,0.7086051250526508
EfficientNetV2B0,dried,comparison,2,AdamW,GlobalMaxPooling2D,0.6575875486381323,0.664915191740413,0.6636080965735887,0.6574578940991155,0.6698790790032483,0.6575875486381323,0.6569133450352449
EfficientNetV2B0,dried,all,4,AdamW,GlobalMaxPooling2D,0.5782493368700266,0.5862355133655582,0.5836062334142623,0.5765331713209894,0.58866608882072,0.5782493368700266,0.5750315264655818
